problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M015_J020; minla_fav; 15; 20; True; 1254.9421562904977; 10639.0; 0.8820432224560029; 171880; 54451; 54237; 703504; 617060; time limit exceeded; 3600.058526992798; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.04008293151855469; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 1091.8284279265722; nan; 171880; 54451; 23224; 307827; 617060; optimal; 265.0070629119873; False;  
ID001_M015_J020; manne; 15; 20; True; 1102.30555351232; 1441.0000000000005; 0.2350412536347375; 6000; 3151; 1736; 75999807; 17700; time limit exceeded; 3600.009834051132; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1367.0858721241884; 12702.0; 0.8923723923693687; 171880; 54451; 54450; 507685; 617060; time limit exceeded; 3600.096893787384; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.04134678840637207; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1201.7201219093038; nan; 171880; 54451; 23292; 288853; 617060; optimal; 169.6221408843994; False;  
ID002_M015_J020; manne; 15; 20; True; 1143.5205479452054; 1390.0000000000002; 0.17732334680199788; 6000; 3151; 1691; 79655257; 17700; time limit exceeded; 3600.016501903534; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 1350.1483159655286; 10975.999999999998; 0.876990860425873; 171880; 54451; 53706; 693686; 617060; time limit exceeded; 3600.124083995819; True;  
ID002_M015_J020; manne; 15; 20; False; nan; 919.0; nan; 6000; 3151; 1906; 1905; 17700; optimal; 0.03843188285827637; False;  
ID002_M015_J020; minla_fav; 15; 20; False; nan; 1146.955938498666; nan; 171880; 54451; 20877; 163263; 617060; optimal; 56.008918046951294; False;  
ID003_M015_J020; manne; 15; 20; True; 1067.0376782077442; 1340.9999999999998; 0.20429703340211422; 6000; 3151; 1724; 118511699; 17700; time limit exceeded; 3601.170089006424; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 1333.3211375772642; 5612.0; 0.7624160481865038; 171880; 54451; 499; 874109; 617060; time limit exceeded; 3600.129045009613; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.039463043212890625; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1106.1966586232018; nan; 171880; 54451; 22695; 222965; 617060; optimal; 167.72906613349915; False;  
ID004_M015_J020; manne; 15; 20; True; 1076.6249943625435; 1410.0; 0.2364361742109453; 6000; 3151; 1558; 96092338; 17700; time limit exceeded; 3600.012808084488; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 1283.2835177746263; 11177.0; 0.8851853343674766; 171880; 54451; 54450; 970314; 617060; time limit exceeded; 3600.0731830596924; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.038308143615722656; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1162.0037750189283; nan; 171880; 54451; 20810; 163324; 617060; optimal; 72.61411499977112; False;  
ID005_M015_J020; manne; 15; 20; True; 1078.6885477683597; 1500.0000000000002; 0.28087430148774156; 6000; 3151; 1803; 75379889; 17700; time limit exceeded; 3600.009430885315; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 1363.3027366852268; 11819.0; 0.88465160024661; 171880; 54451; 54378; 959988; 617060; time limit exceeded; 3600.0678839683533; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.03865694999694824; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1256.577011952773; nan; 171880; 54451; 22803; 183180; 617060; optimal; 67.7658281326294; False;  
ID006_M015_J020; manne; 15; 20; True; 1145.3576478622697; 1465.9999999999995; 0.21871920336815012; 6000; 3151; 1727; 71807576; 17700; time limit exceeded; 3600.0124888420105; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 1375.853186330189; 12242.0; 0.8876120579700802; 171880; 54451; 300; 994527; 617060; time limit exceeded; 3600.0841381549835; True;  
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.03608083724975586; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1268.9312347394407; nan; 171880; 54451; 21598; 199376; 617060; optimal; 72.81918692588806; False;  
ID007_M015_J020; manne; 15; 20; True; 1089.9999999999982; 1508.9999996576191; 0.2776673291932811; 6000; 3151; 1722; 90419771; 17700; time limit exceeded; 3600.010407924652; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 1293.4903290159525; 12220.0; 0.8941497275764286; 171880; 54451; 300; 783604; 617060; time limit exceeded; 3600.085827112198; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.04022097587585449; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1161.7914675916145; nan; 171880; 54451; 26920; 245976; 617060; optimal; 164.37167191505432; False;  
ID008_M015_J020; manne; 15; 20; True; 1066.9440632413969; 1376.0; 0.22460460520245687; 6000; 3151; 1757; 122937916; 17700; time limit exceeded; 3601.175062894821; True;  
ID008_M015_J020; minla_fav; 15; 20; True; 1460.9999999999982; 5406.0; 0.729744728079898; 171880; 54451; 454; 803460; 617060; time limit exceeded; 3600.1104760169983; True;  
ID008_M015_J020; manne; 15; 20; False; nan; 920.0; nan; 6000; 3151; 1937; 1936; 17700; optimal; 0.037966012954711914; False;  
ID008_M015_J020; minla_fav; 15; 20; False; nan; 1146.4776210930884; nan; 171880; 54451; 20929; 248234; 617060; optimal; 179.022362947464; False;  
ID009_M015_J020; manne; 15; 20; True; 1074.6569541872673; 1423.000000000001; 0.24479483191335835; 6000; 3151; 1625; 80775745; 17700; time limit exceeded; 3600.0110239982605; True;  
ID009_M015_J020; minla_fav; 15; 20; True; 1263.5306508876697; 11989.0; 0.8946091708326167; 171880; 54451; 300; 798711; 617060; time limit exceeded; 3600.071932077408; True;  
ID009_M015_J020; manne; 15; 20; False; nan; 928.0; nan; 6000; 3151; 1839; 1838; 17700; optimal; 0.037158966064453125; False;  
ID009_M015_J020; minla_fav; 15; 20; False; nan; 1148.8000939403917; nan; 171880; 54451; 25067; 220520; 617060; optimal; 86.82410502433777; False;  
ID000_M020_J020; manne; 20; 20; True; 1367.7073598792285; 1611.9999999999998; 0.1515463028044393; 8000; 4201; 2152; 59885746; 23600; time limit exceeded; 3600.0181770324707; True;  
ID000_M020_J020; minla_fav; 20; 20; True; 1909.6910623915169; 15143.999999996944; 0.873897843212362; 229180; 72601; 72250; 578268; 822760; time limit exceeded; 3600.092031955719; True;  
ID000_M020_J020; manne; 20; 20; False; nan; 1217.0; nan; 8000; 4201; 2182; 2181; 23600; optimal; 0.06143593788146973; False;  
ID000_M020_J020; minla_fav; 20; 20; False; nan; 1535.9753500452157; nan; 229180; 72601; 24879; 248495; 822760; optimal; 89.97435092926025; False;  
ID001_M020_J020; manne; 20; 20; True; 1346.998043052837; 1644.0; 0.1806581246637135; 8000; 4201; 2250; 47982176; 23600; time limit exceeded; 3600.02068901062; True;  
ID001_M020_J020; minla_fav; 20; 20; True; 1814.8065804486598; 16332.0; 0.8888803220396309; 229180; 72601; 72286; 672383; 822760; time limit exceeded; 3600.185122013092; True;  
ID001_M020_J020; manne; 20; 20; False; nan; 1223.0; nan; 8000; 4201; 2520; 2519; 23600; optimal; 0.06358814239501953; False;  
ID001_M020_J020; minla_fav; 20; 20; False; nan; 1472.065667951383; nan; 229180; 72601; 25035; 211607; 822760; optimal; 160.22899293899536; False;  
ID002_M020_J020; manne; 20; 20; True; 1343.328848888; 1637.0; 0.1793959383701784; 8000; 4201; 2220; 53475947; 23600; time limit exceeded; 3600.0166800022125; True;  
ID002_M020_J020; minla_fav; 20; 20; True; 1745.0681097435638; 15892.99999999993; 0.8901989486098495; 229180; 72601; 72351; 338356; 822760; time limit exceeded; 3600.131249189377; True;  
ID002_M020_J020; manne; 20; 20; False; nan; 1164.0; nan; 8000; 4201; 2459; 2458; 23600; optimal; 0.06492280960083008; False;  
ID002_M020_J020; minla_fav; 20; 20; False; nan; 1494.7417893213299; nan; 229180; 72601; 23531; 237873; 822760; optimal; 334.73489904403687; False;  
ID003_M020_J020; manne; 20; 20; True; 1320.5025149543073; 1689.0; 0.21817494674107213; 8000; 4201; 2158; 64395683; 23600; time limit exceeded; 3600.012011051178; True;  
ID003_M020_J020; minla_fav; 20; 20; True; 1644.2767188273128; 15509.0; 0.8939791915128376; 229180; 72601; 400; 571033; 822760; time limit exceeded; 3600.110363006592; True;  
ID003_M020_J020; manne; 20; 20; False; nan; 1151.0; nan; 8000; 4201; 2431; 2430; 23600; optimal; 0.06325292587280273; False;  
ID003_M020_J020; minla_fav; 20; 20; False; nan; 1463.7705513644312; nan; 229180; 72601; 26893; 296170; 822760; optimal; 293.42384815216064; False;  
ID004_M020_J020; manne; 20; 20; True; 1343.0; 1715.0; 0.216909620991241; 8000; 4201; 2116; 54159523; 23600; time limit exceeded; 3600.0177590847015; True;  
ID004_M020_J020; minla_fav; 20; 20; True; 1951.1175828694556; 13895.999999992997; 0.8595914232246312; 229180; 72601; 72566; 462385; 822760; time limit exceeded; 3600.1140971183777; True;  
ID004_M020_J020; manne; 20; 20; False; nan; 1170.0; nan; 8000; 4201; 2411; 2410; 23600; optimal; 0.06339287757873535; False;  
ID004_M020_J020; minla_fav; 20; 20; False; nan; 1475.8603236233569; nan; 229180; 72601; 20988; 189760; 822760; optimal; 69.8435890674591; False;  
ID005_M020_J020; manne; 20; 20; True; 1354.2666666666655; 1652.9999999999998; 0.1807219197418731; 8000; 4201; 2194; 61758292; 23600; time limit exceeded; 3600.014088869095; True;  
